Gemeinden in Deutschland nach Fläche und Bevölkerung am 31.12.1990 (Jahr) zum Gebietsstand 01.01.1991 ;;;;;;;;;;;;
;;;;;;;;;;;;
Satz-art;;Gemeindeschlüssel;;;;;Gemeindename;Fläche in km2;Bevölkerung;;;
;;Land;RB;Kreis;;Gem;;;insgesamt;männlich;weiblich;je km2
;;Gebietsstand am 01.01.1991;;;;;;am 31.12.1990 (Jahr);;;;
;;;;;;;;;;;;
60;;1;0;53;;100;Ratzeburg, Stadt;30,29; 12 181; 5 458; 6 723;402
60;;1;0;53;;101;Ritzerau;11,11;242;116;126;22
60;;1;0;53;;102;Römnitz;5,15;47;24;23;9
60;;1;0;53;;103;Rondeshagen;9,51;683;339;344;72
60;;1;0;53;;104;Roseburg;16,23;429;196;233;26
60;;1;0;53;;105;Sachsenwald (Forstgutsbez.),gemfr.Geb. 1);58,49;0;0;0;0
60;;1;0;53;;106;Sahms;5,95;268;134;134;45
60;;1;0;53;;107;Salem;25,11;476;216;260;19
60;;1;0;53;;108;Sandesneben;6,13; 1 054;519;535;172
60;;1;0;53;;109;Schiphorst;8,15;419;214;205;51
60;;1;0;53;;110;Schmilau;11,55;567;289;278;49
60;;1;0;53;;111;Schnakenbek;13,02;797;404;393;61
60;;1;0;53;;112;Schönberg;14,78;952;474;478;64
60;;1;0;53;;113;Schretstaken;8,47;472;256;216;56
60;;1;0;53;;114;Schürensöhlen;2,75;165;86;79;60
60;;1;0;53;;115;Schulendorf;11,39;377;191;186;33
60;;1;0;53;;116;Schwarzenbek, Stadt;11,55; 11 435; 5 533; 5 902;990
60;;1;0;53;;117;Seedorf;27,89;517;263;254;19
60;;1;0;53;;118;Siebenbäumen;8,82;512;247;265;58
60;;1;0;53;;119;Siebeneichen;4,68;240;118;122;51
60;;1;0;53;;120;Sierksrade;4;293;144;149;73
60;;1;0;53;;121;Sirksfelde;8,63;244;119;125;28
60;;1;0;53;;122;Steinhorst;16,36;472;239;233;29
60;;1;0;53;;123;Sterley;21,39;796;388;408;37
60;;1;0;53;;124;Stubben;5,24;324;161;163;62
60;;1;0;53;;125;Talkau;4,88;420;206;214;86
60;;1;0;53;;126;Tramm;6,75;275;136;139;41
60;;1;0;53;;127;Walksfelde;3,51;130;71;59;37
